Unemployment rate (Percent),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,
Andorra,3.2,4,6.2,6.3,5.8,3.6,3,1.7,1.5,1.8,2.9,2.9,2.1,1.9
Australia,5.2,5.1,5.2,5.7,6.1,6.1,5.7,5.6,5.3,5.2,6.5,5.1,3.7,3.7
Austria,5.2,4.9,5.2,5.4,6.1,6.2,6.5,5.9,5.2,4.8,5.5,6.2,4.8,5.1
The Bahamas,15.1,15.9,14.4,15.8,14.6,13.4,12.2,10.1,10.4,10.1,26.2,17.6,10.8,8.8
Bahrain,3.6,4,3.7,4.3,3.8,3.5,4.3,4.1,4.3,4.7,5.9,5.9,5.4,4.2
Barbados,10.3,11.2,11.5,11.6,12.3,11.3,9.7,10,10.1,10.1,21.1,14.4,10.2,10.1
Belgium,8.4,7.2,7.7,8.6,8.7,8.7,7.9,7.1,6,5.4,5.6,6.3,5.6,5.7
Brunei,2.7,9.3,8.5,7.7,6.9,7.7,8.5,9.3,8.7,6.8,7.3,4.9,5.2,4.9
Chile,8.3,7.3,6.6,6.1,6.5,6.3,6.7,7,7.4,7.2,10.8,8.9,7.9,8.8
Cyprus,6.3,7.9,11.8,15.9,16.1,14.9,13,11.1,8.4,7.1,7.6,7.5,6.8,6.7
Czech Republic,7.3,6.7,7,6.9,6.1,5,3.9,2.9,2.1,1.9,2.4,2.7,2.1,2.8
Canada,8.10,7.60,7.40,7.20,7.00,7.00,7.00,6.40,5.90,5.70,9.70,7.50,5.30,5.80
Denmark,7.8,7.8,7.8,7.4,6.9,6.3,6,5.8,5.1,5,5.6,5.1,4.5,5
Estonia,16.7,12.3,10,8.6,7.4,6.2,6.8,5.8,5.4,4.4,6.8,6.2,5.6,6.7
England,7.9,8.1,8,7.6,6.2,5.4,4.9,4.4,4.1,3.8,4.6,4.5,3.7,4.2
Finland,8.5,7.9,7.8,8.3,8.8,9.6,9,8.8,7.4,6.7,7.8,7.6,6.8,7.3
France,9.3,9.2,9.8,10.3,10.3,10.3,10.1,9.4,9,8.4,8,7.9,7.3,7.4
Germany,6.6,5.5,5.1,5,4.7,4.4,3.9,3.6,3.2,3,3.6,3.6,3.1,3.3
Greece,12.7,17.9,24.4,27.5,26.5,24.9,23.6,21.5,19.3,17.3,16.3,14.8,12.4,10.8
Hong Kong,4.3,3.4,3.3,3.4,3.3,3.3,3.4,3.1,2.8,2.9,5.8,5.2,4.3,3.2
Hungary,10.8,10.7,10.7,9.8,7.5,6.6,5,4.1,3.6,3.3,4.1,4.1,3.6,3.9
Iceland,8.3,7.7,6.6,5.8,5.4,4.5,3.3,3.3,3.1,3.9,6.4,6,3.8,3.4
Ireland,14.6,15.4,15.5,13.8,11.9,9.9,8.4,6.8,5.8,5,5.8,6.3,4.5,4.1
Israel,8.3,7.1,6.9,6.2,5.9,5.3,4.8,4.2,4,3.8,4.3,5,3.8,3.5
Italy,8.5,8.6,10.9,12.4,12.8,12,11.7,11.3,10.6,9.9,9.3,9.5,8.1,7.9
Japan,5.1,4.6,4.3,4,3.6,3.4,3.1,2.8,2.4,2.4,2.8,2.8,2.6,2.5
South Korea,3.7,3.4,3.2,3.1,3.5,3.6,3.7,3.7,3.8,3.8,3.9,3.7,2.9,2.7
Kuwait,2.6,2.7,2.8,2.8,2.9,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Latvia,19.5,16.2,15,11.9,10.8,9.9,9.6,8.7,7.4,6.3,8.1,7.6,6.9,6.7
Lithuania,17.8,15.4,13.4,11.8,10.7,9.1,7.9,7.1,6.1,6.3,8.5,7.1,5.9,6.5
Luxembourg,5.8,5.7,6.1,6.8,7.1,6.6,6.3,5.8,5.1,5.4,6.4,5.7,4.8,5.2
Macao,2.8,2.6,2,1.9,1.7,1.8,1.9,2,1.8,1.7,2.6,3,3,2.7
Malta,6.8,6.4,6.2,6.1,5.7,5.4,4.7,4,3.7,3.6,4.4,3.4,2.9,3.1
Mauritius,7.8,7.9,8.1,8,7.8,7.9,7.3,7.1,6.9,6.7,9.2,9.1,7.7,7.4
Netherlands,6.1,6.1,6.8,8.2,8.3,7.9,7,5.9,4.9,4.4,4.9,4.2,3.5,3.7
New Zealand,6.2,6.1,6.5,5.8,5.4,5.4,5.2,4.8,4.3,4.1,4.6,3.8,3.3,3.8
Norway,3.8,3.4,3.3,3.8,3.6,4.5,4.7,4.2,3.9,3.7,4.6,4.4,3.3,3.6
Poland,9.6,9.6,10.1,10.3,9,7.5,6.2,4.9,3.8,3.3,3.2,3.4,2.9,2.8
Portugal,11.5,13.4,16.5,17.1,14.5,12.9,11.5,9.2,7.2,6.7,7.1,6.6,6.1,6.6
San Marino,4.9,5.5,7,8.1,8.7,9.2,8.6,8.1,8,7.7,7.3,5.2,4.3,4
Saudi Arabia,5.5,5.8,5.5,5.6,5.7,5.6,5.6,5.9,6,5.6,7.7,6.6,5.6,4.9
Singapore,2.2,2,2,1.9,2,1.9,2.1,2.2,2.1,2.3,3,2.7,2.1,1.8
Slovak,14.4,13.6,13.9,14.2,13.1,11.5,9.7,8.1,6.5,5.7,6.6,6.8,6.2,6.1
Slovenia,7.3,8.2,8.9,10.1,9.8,9,8,6.6,5.1,4.5,5,4.7,4,3.6
Spain,19.9,21.4,24.8,26.1,24.4,22.1,19.6,17.2,15.3,14.1,15.5,14.8,12.9,11.8
Sweden,8.8,8,8.2,8.2,8.1,7.6,7.2,6.9,6.5,7,8.5,8.8,7.5,7.5
Switzerland,3.5,2.8,2.9,3.2,3,3.2,3.3,3.1,2.5,2.3,3.2,3,2.2,2.1
Taiwan,5.2,4.4,4.2,4.2,4,3.8,3.9,3.8,3.7,3.7,3.9,4,3.7,3.7
USA,9.6,8.9,8.1,7.4,6.2,5.3,4.9,4.4,3.9,3.7,8.1,5.4,3.6,3.6
